subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,linked_timepoint,year,month,day_of_month,hour_of_day,timestamp,ignore_horizon_day
1,1,20300141,203001,1,11.7741935484,,0,,2030,1,6,21,1/6/30 20:00,
1,1,20300142,203001,1,11.7741935484,,0,,2030,1,6,22,1/6/30 21:00,
1,1,20300143,203001,1,11.7741935484,,0,,2030,1,6,23,1/6/30 22:00,
1,1,20300144,203001,1,11.7741935484,,0,,2030,1,6,24,1/6/30 23:00,
1,1,20300145,203001,1,11.7741935484,,0,,2030,1,7,1,1/7/30 0:00,
1,1,20300146,203001,1,11.7741935484,,0,,2030,1,7,2,1/7/30 1:00,
1,1,20300147,203001,1,11.7741935484,,0,,2030,1,7,3,1/7/30 2:00,
1,1,20300148,203001,1,11.7741935484,,0,,2030,1,7,4,1/7/30 3:00,
1,1,20300149,203001,1,11.7741935484,,0,,2030,1,7,5,1/7/30 4:00,
1,1,20300150,203001,1,11.7741935484,,0,,2030,1,7,6,1/7/30 5:00,
1,1,20300151,203001,1,11.7741935484,,0,,2030,1,7,7,1/7/30 6:00,
1,1,20300152,203001,1,11.7741935484,,0,,2030,1,7,8,1/7/30 7:00,
1,1,20300153,203001,1,11.7741935484,,0,,2030,1,7,9,1/7/30 8:00,
1,1,20300154,203001,1,11.7741935484,,0,,2030,1,7,10,1/7/30 9:00,
1,1,20300155,203001,1,11.7741935484,,0,,2030,1,7,11,1/7/30 10:00,
1,1,20300156,203001,1,11.7741935484,,0,,2030,1,7,12,1/7/30 11:00,
1,1,20300157,203001,1,11.7741935484,,0,,2030,1,7,13,1/7/30 12:00,
1,1,20300158,203001,1,11.7741935484,,0,,2030,1,7,14,1/7/30 13:00,
1,1,20300159,203001,1,11.7741935484,,0,,2030,1,7,15,1/7/30 14:00,
1,1,20300160,203001,1,11.7741935484,,0,,2030,1,7,16,1/7/30 15:00,
1,1,20300161,203001,1,11.7741935484,,0,,2030,1,7,17,1/7/30 16:00,
1,1,20300162,203001,1,11.7741935484,,0,,2030,1,7,18,1/7/30 17:00,
1,1,20300163,203001,1,11.7741935484,,0,,2030,1,7,19,1/7/30 18:00,
1,1,20300164,203001,1,11.7741935484,,0,,2030,1,7,20,1/7/30 19:00,
1,1,20300165,203001,1,11.7741935484,,0,,2030,1,7,21,1/7/30 20:00,
1,1,20300166,203001,1,11.7741935484,,0,,2030,1,7,22,1/7/30 21:00,
1,1,20300167,203001,1,11.7741935484,,0,,2030,1,7,23,1/7/30 22:00,
1,1,20300168,203001,1,11.7741935484,,0,,2030,1,7,24,1/7/30 23:00,
1,1,20300169,203001,1,11.7741935484,,0,,2030,1,8,1,1/8/30 0:00,
1,1,20300170,203001,1,11.7741935484,,0,,2030,1,8,2,1/8/30 1:00,
1,1,20300171,203001,1,11.7741935484,,0,,2030,1,8,3,1/8/30 2:00,
1,1,20300172,203001,1,11.7741935484,,0,,2030,1,8,4,1/8/30 3:00,
1,1,20300173,203001,1,11.7741935484,,0,,2030,1,8,5,1/8/30 4:00,
1,1,20300174,203001,1,11.7741935484,,0,,2030,1,8,6,1/8/30 5:00,
1,1,20300175,203001,1,11.7741935484,,0,,2030,1,8,7,1/8/30 6:00,
1,1,20300176,203001,1,11.7741935484,,0,,2030,1,8,8,1/8/30 7:00,
1,1,20300177,203001,1,11.7741935484,,0,,2030,1,8,9,1/8/30 8:00,
1,1,20300178,203001,1,11.7741935484,,0,,2030,1,8,10,1/8/30 9:00,
1,1,20300179,203001,1,11.7741935484,,0,,2030,1,8,11,1/8/30 10:00,
1,1,20300180,203001,1,11.7741935484,,0,,2030,1,8,12,1/8/30 11:00,
1,1,20300181,203001,1,11.7741935484,,0,,2030,1,8,13,1/8/30 12:00,
1,1,20300182,203001,1,11.7741935484,,0,,2030,1,8,14,1/8/30 13:00,
1,1,20300183,203001,1,11.7741935484,,0,,2030,1,8,15,1/8/30 14:00,
1,1,20300184,203001,1,11.7741935484,,0,,2030,1,8,16,1/8/30 15:00,
1,1,20300185,203001,1,11.7741935484,,0,,2030,1,8,17,1/8/30 16:00,
1,1,20300186,203001,1,11.7741935484,,0,,2030,1,8,18,1/8/30 17:00,
1,1,20300187,203001,1,11.7741935484,,0,,2030,1,8,19,1/8/30 18:00,
1,1,20300188,203001,1,11.7741935484,,0,,2030,1,8,20,1/8/30 19:00,
1,1,20300189,203001,1,11.7741935484,,0,,2030,1,8,21,1/8/30 20:00,
1,1,20300190,203001,1,11.7741935484,,0,,2030,1,8,22,1/8/30 21:00,
1,1,20300191,203001,1,11.7741935484,,0,,2030,1,8,23,1/8/30 22:00,
1,1,20300192,203001,1,11.7741935484,,0,,2030,1,8,24,1/8/30 23:00,
1,1,20300193,203001,1,11.7741935484,,0,,2030,1,9,1,1/9/30 0:00,
1,1,20300194,203001,1,11.7741935484,,0,,2030,1,9,2,1/9/30 1:00,
1,1,20300195,203001,1,11.7741935484,,0,,2030,1,9,3,1/9/30 2:00,
1,1,20300196,203001,1,11.7741935484,,0,,2030,1,9,4,1/9/30 3:00,
1,1,20300197,203001,1,11.7741935484,,0,,2030,1,9,5,1/9/30 4:00,
1,1,20300198,203001,1,11.7741935484,,0,,2030,1,9,6,1/9/30 5:00,
1,1,20300199,203001,1,11.7741935484,,0,,2030,1,9,7,1/9/30 6:00,
1,1,20300200,203001,1,11.7741935484,,0,,2030,1,9,8,1/9/30 7:00,
1,1,20300201,203001,1,11.7741935484,,0,,2030,1,9,9,1/9/30 8:00,
1,1,20300202,203001,1,11.7741935484,,0,,2030,1,9,10,1/9/30 9:00,
1,1,20300203,203001,1,11.7741935484,,0,,2030,1,9,11,1/9/30 10:00,
1,1,20300204,203001,1,11.7741935484,,0,,2030,1,9,12,1/9/30 11:00,
1,1,20300205,203001,1,11.7741935484,,0,,2030,1,9,13,1/9/30 12:00,
1,1,20300206,203001,1,11.7741935484,,0,,2030,1,9,14,1/9/30 13:00,
1,1,20300207,203001,1,11.7741935484,,0,,2030,1,9,15,1/9/30 14:00,
1,1,20300208,203001,1,11.7741935484,,0,,2030,1,9,16,1/9/30 15:00,
1,1,20300209,203001,1,11.7741935484,,0,,2030,1,9,17,1/9/30 16:00,
1,1,20300210,203001,1,11.7741935484,,0,,2030,1,9,18,1/9/30 17:00,
1,1,20300211,203001,1,11.7741935484,,0,,2030,1,9,19,1/9/30 18:00,
1,1,20300212,203001,1,11.7741935484,,0,,2030,1,9,20,1/9/30 19:00,
1,1,20300213,203001,1,11.7741935484,,0,,2030,1,9,21,1/9/30 20:00,
1,1,20300214,203001,1,11.7741935484,,0,,2030,1,9,22,1/9/30 21:00,
1,1,20300215,203001,1,11.7741935484,,0,,2030,1,9,23,1/9/30 22:00,
1,1,20300216,203001,1,11.7741935484,,0,,2030,1,9,24,1/9/30 23:00,
1,1,20300217,203001,1,11.7741935484,,0,,2030,1,10,1,1/10/30 0:00,
1,1,20300218,203001,1,11.7741935484,,0,,2030,1,10,2,1/10/30 1:00,
1,1,20300219,203001,1,11.7741935484,,0,,2030,1,10,3,1/10/30 2:00,
1,1,20300220,203001,1,11.7741935484,,0,,2030,1,10,4,1/10/30 3:00,
1,1,20300221,203001,1,11.7741935484,,0,,2030,1,10,5,1/10/30 4:00,
1,1,20300222,203001,1,11.7741935484,,0,,2030,1,10,6,1/10/30 5:00,
1,1,20300223,203001,1,11.7741935484,,0,,2030,1,10,7,1/10/30 6:00,
1,1,20300224,203001,1,11.7741935484,,0,,2030,1,10,8,1/10/30 7:00,
1,1,20300225,203001,1,11.7741935484,,0,,2030,1,10,9,1/10/30 8:00,
1,1,20300226,203001,1,11.7741935484,,0,,2030,1,10,10,1/10/30 9:00,
1,1,20300227,203001,1,11.7741935484,,0,,2030,1,10,11,1/10/30 10:00,
1,1,20300228,203001,1,11.7741935484,,0,,2030,1,10,12,1/10/30 11:00,
1,1,20300229,203001,1,11.7741935484,,0,,2030,1,10,13,1/10/30 12:00,
1,1,20300230,203001,1,11.7741935484,,0,,2030,1,10,14,1/10/30 13:00,
1,1,20300231,203001,1,11.7741935484,,0,,2030,1,10,15,1/10/30 14:00,
1,1,20300232,203001,1,11.7741935484,,0,,2030,1,10,16,1/10/30 15:00,
1,1,20300233,203001,1,11.7741935484,,0,,2030,1,10,17,1/10/30 16:00,
1,1,20300234,203001,1,11.7741935484,,0,,2030,1,10,18,1/10/30 17:00,
1,1,20300235,203001,1,11.7741935484,,0,,2030,1,10,19,1/10/30 18:00,
