stage_id,balancing_type_horizon,horizon,tmp_start,tmp_start_spinup_or_lookahead,tmp_end,tmp_end_spinup_or_lookahead
1,day,2030297,20307105,0,20307128,0
1,day,2030298,20307129,0,20307152,0
1,day,2030299,20307153,0,20307176,0
1,day,2030300,20307177,0,20307200,0
1,day,2030301,20307201,0,20307224,0
1,day,2030302,20307225,0,20307248,0
1,day,2030303,20307249,0,20307272,0
1,day,2030304,20307273,0,20307296,0
1,day,2030305,20307297,0,20307320,0
1,day,2030306,20307321,0,20307344,0
1,day,2030307,20307345,0,20307368,0
1,day,2030308,20307369,0,20307392,0
1,day,2030309,20307393,0,20307416,0
1,day,2030310,20307417,0,20307440,0
1,day,2030311,20307441,0,20307464,0
1,day,2030312,20307465,0,20307488,0
1,day,2030313,20307489,0,20307512,0
1,day,2030314,20307513,0,20307536,0
1,day,2030315,20307537,0,20307560,0
1,day,2030316,20307561,0,20307584,0
1,day,2030317,20307585,0,20307608,0
1,day,2030318,20307609,0,20307632,0
1,day,2030319,20307633,0,20307656,0
1,day,2030320,20307657,0,20307680,0
1,day,2030321,20307681,0,20307704,0
1,day,2030322,20307705,0,20307728,0
1,day,2030323,20307729,0,20307752,0
1,day,2030324,20307753,0,20307776,0
1,day,2030325,20307777,0,20307800,0
1,day,2030326,20307801,0,20307824,0
1,day,2030327,20307825,0,20307848,0
1,day,2030328,20307849,0,20307872,0
1,day,2030329,20307873,0,20307896,0
1,day,2030330,20307897,0,20307920,0
1,day,2030331,20307921,0,20307944,0
1,day,2030332,20307945,0,20307968,0
1,day,2030333,20307969,0,20307992,0
1,day,2030334,20307993,0,20308016,0
1,day,2030335,20308017,0,20308040,0
1,day,2030336,20308041,0,20308064,0
1,day,2030337,20308065,0,20308088,0
1,day,2030338,20308089,0,20308112,0
1,day,2030339,20308113,0,20308136,0
1,day,2030340,20308137,0,20308160,0
1,day,2030341,20308161,0,20308184,0
1,day,2030342,20308185,0,20308208,0
1,day,2030343,20308209,0,20308232,0
1,day,2030344,20308233,0,20308256,0
1,day,2030345,20308257,0,20308280,0
1,day,2030346,20308281,0,20308304,0
1,day,2030347,20308305,0,20308328,0
1,day,2030348,20308329,0,20308352,0
1,day,2030349,20308353,0,20308376,0
1,day,2030350,20308377,0,20308400,0
1,day,2030351,20308401,0,20308424,0
